Month,metric,counter
2013-12,total_domain,546148.0
2013-12,Web,6822.0
2013-12,Mail,37498.0
2013-12,DNS,75050.0
2014-06,total_domain,550625.0
2014-06,Web,6566.0
2014-06,Mail,37482.0
2014-06,DNS,79927.0
2014-09,total_domain,551657.0
2014-09,Web,6712.0
2014-09,Mail,38393.0
2014-09,DNS,83434.0
2014-08,total_domain,551028.0
2014-08,Web,6672.0
2014-08,Mail,38020.0
2014-08,DNS,82240.0
2014-05,total_domain,552411.0
2014-05,Web,6264.0
2014-05,Mail,35306.0
2014-05,DNS,79137.0
2014-04,total_domain,550220.0
2014-04,Web,7266.0
2014-04,Mail,37675.0
2014-04,DNS,79390.0
2014-07,total_domain,552253.0
2014-07,Web,6614.0
2014-07,Mail,37727.0
2014-07,DNS,81016.0
2014-11,total_domain,589190.0
2014-11,Web,6999.0
2014-11,Mail,40309.0
2014-11,DNS,87283.0
2014-03,total_domain,551567.0
2014-03,Web,6919.0
2014-03,Mail,37790.0
2014-03,DNS,77914.0
2014-02,total_domain,542861.0
2014-02,Web,6719.0
2014-02,Mail,36961.0
2014-02,DNS,77017.0
2014-12,total_domain,594975.0
2014-12,Web,7313.0
2014-12,Mail,42621.0
2014-12,DNS,89416.0
2013-08,total_domain,536255.0
2013-08,Web,5735.0
2013-08,Mail,35168.0
2013-08,DNS,60472.0
2013-09,total_domain,544668.0
2013-09,Web,5498.0
2013-09,Mail,35978.0
2013-09,DNS,67361.0
2015-02,total_domain,601206.0
2015-02,Web,7452.0
2015-02,Mail,40864.0
2015-02,DNS,90604.0
2014-10,total_domain,579735.0
2014-10,Web,6814.0
2014-10,Mail,39177.0
2014-10,DNS,86595.0
2013-11,total_domain,546426.0
2013-11,Web,6115.0
2013-11,Mail,37251.0
2013-11,DNS,73327.0
2013-10,total_domain,545706.0
2013-10,Web,5653.0
2013-10,Mail,36238.0
2013-10,DNS,70743.0
